region,NEW_REGION_COLUMN
southeast,SOUTHEAST
southeast,SOUTHEAST
southeast,SOUTHEAST
northwest,NORTHWEST
northwest,NORTHWEST
northwest,NORTHWEST
northwest,NORTHWEST
southwest,SOUTHWEST
northwest,NORTHWEST
southwest,SOUTHWEST
southeast,SOUTHEAST
southeast,SOUTHEAST
southeast,SOUTHEAST
northeast,NORTHEAST
region,NEW_REGION_COLUMN
southeast,SOUTHEAST
southeast,SOUTHEAST
southeast,SOUTHEAST
northwest,NORTHWEST
northwest,NORTHWEST
northwest,NORTHWEST
northwest,NORTHWEST
southwest,SOUTHWEST
northwest,NORTHWEST
southwest,SOUTHWEST
southeast,SOUTHEAST
southeast,SOUTHEAST
southeast,SOUTHEAST
northeast,NORTHEAST
region,NEW_REGION_COLUMN
southeast,SOUTHEAST
southeast,SOUTHEAST
southeast,SOUTHEAST
northwest,NORTHWEST
northwest,NORTHWEST
northwest,NORTHWEST
northwest,NORTHWEST
southwest,SOUTHWEST
northwest,NORTHWEST
southwest,SOUTHWEST
southeast,SOUTHEAST
southeast,SOUTHEAST
southeast,SOUTHEAST
northeast,NORTHEAST
